tweet,label
"Women 's clothing , children 's clothing , shoes , coats and non-perishable food",Food
"sooo I 'm sitting in my living room ... doing nothing ... it 's sad , it 's so quiet I just heard @ briellekievitt swallow ..... # HurricaneSandy",None
So water batteries & amp ; bread is what people bought the most due to sandy ... there is no more batteries around,None
"Collection of clothes , children 's supplies and toys , diapers , non perishables , blankets , hygiene products .... Pots pans etc ...",Food
Ok .... a tsunami warning in the Pacific and a hurricane traveling up the Atlantic. Sounds like a Stephen King novel .....,None
"Guys this isnt a hurricane ... This is a "" tropical like system "" .. according to the news.",None
"A generator is needed for Broad Channel ! When we were there , they were just getting clothes and blankets on Saturday. We need to get a generator to them as soon as we can ! - * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *",Food
* NEED MET * my friend * * * * * * * * in red hook has 9 rescue animals and is need of a generator. she has limited phone access ..,Energy
I am available this SAT 3rd ... can I come down and help .. I 'll bring batteries too if you need them .... anything else ? * * * * * * * * * * * * * * * * * * *,Energy
Food/water/supplies distribution.,Food
"We can donate warm clothes , work clothes and dry , non-perishable foods. When is best to bring these items to * * * * * * * * * * ? Thank you.",Food
"We are planning on bringing a truck load of food and water and a car load of clothes , blankets and baby needs tomorrow.",Food
"I can provide hot meals , non-perishable food or baby supplies. Please let me know what you need.",Food
"Sandyyyyyyyyy , come out come out where ever you are ......",None
i 'm also good with food prep if there 's a need to feed people out there,Food
Survived the storm ! Lost power though : ' ( brought my laptop to work to charge ! Need to watch modern family !,Energy
"I hope all my friends and family are safe and have power , heat & amp ; food after Hurricane Sandy ❤ # SandyRelief # JerseyStrong",None
# Hoboken stocked w donations only accepting batteries & amp ; flashlights. If u have supplies lots of other towns still need them # njsandy,None
the big storm Hurricane Sandy : The calm before the big storm Hurricane Sandy has necrosis and the U.S. has ... http : //t.co/dfK1xn9s,None
id like to serve food or organize donations,Food
Provide hot food.,Food
I have been working on connecting gluten-free hurricane victims with gluten-free companies. We want to make sure the food gets into the hands of those who really need the gluten-free food for medical purposes. Can you please connect me with someone who might be able to accept gluten-free donations ? Thank you ! * * * * * * * * * * * * * * * * * * at gmail dot com,Food
i 'm also good with food prep if there 's a need to feed people out there,Food
IM SICK ... SANDY GOT ME. I CAMT STOP COUGHING OR SNEEZING AND PUKING ... NICE ...,None
Just gotta find ants that havnt been wiped out by the snow storm ....... and chalk ....,None
Officially have no power .... just fckin great. # FckYouSandy,None
I 'm really concerned my food is gunna go bad if I don 't eat it all before the storm and the power goes out,None
Have a great day everyone. Still surviving the storm here. Prayers R with my fellow east coast people 's ....,None
Hurricane : A storm which New Yorkers use as an excuse to drink and eat junk food in their pajamas for 48 hours. # sandy,None
Free food for Sandy victims @ Speedway School on South Orange Ave. Newark .... # SANDYNJ # NewarkhelpingNewark,Food
Oppppe ! There goes the power ! Another sign ..... that # Sandy is here !,Energy
good food & amp ; family ! # hurricaneparty,None
"We are not currently accepting clothing donations at this time because we are unable to process them. There are very limited resources and facilities to sort , store , and distribute clothing in the disaster area -- there are literally piles of clothing going to waste as many people have severe damage to their homes and no dry place to keep them and they are getting moldy & dirty. Donations of gently used clothes should go to the Salvation Army or Goodwill accordingly. Donations of non perishable items such as ready to eat items ( tuna , soups , pasta , cereal ) , water , batteries , flashlights , and cleaning supplies are always welcome at our donation drop off at 23-74 38th st btwn 23rd ave & Astoria Blvd. Thanks !",Food
I plan on driving up Thanksgiving morning from VA - what ever the need is at that time I hope to bring in my car - supplies / food / toys / products etc Please let me know what would be best - I will keep in touch,Food
Don 't say that ! “ @ rayray_west : a hurricane in October ...... yup the worlds endin”,None
Food preparation,Food
"Sandy is so angry , power is down , wind over 90 mph",Energy
"@ FrancisSchott Very nice ! “ @ FrancisSchott : Storm knocked out power : Fireplace , Calvados , Book , Cigar : None even need batteries !”",None
Trying too look for food in the dark .. # TheStruggle # sadtweet # Sandy,Energy
"I have water , D cell batteries , clothing , and non perishable food items. Please let me know if you need any of these items.",Food
"In case of hurricane , buy as much junk food as possible ... @ ShopRite http : //t.co/GHNOaHRC",None
"I have an electric heater that I can donate , and I can help by providing meals or food , or helping to prepare meals",Food
"Arabic/English translation , can foster cat-friendly dogs or cats , help distributing food or supplies",Food
"We booked a vacation to New York for Thanksgiving. We are coming from Germany ( Military overseas family ) and we would like to help. We can bring money , supplies , and many able-bodied volunteers who are ready to work. Please tell us where to go. We are available Monday and Weds November 19 and 21. We would also be able to adopt a family for Thanksgiving by bringing them a dinner and supplies.",Food
"Hi , I am from Baltimore and wanted to organize a drive for your residents and arrange a time to deliver the items. What kinds of special needs do your residents have ? I saw on nightline that many of your residents need food and clothing. Please let us know how our community can help you. Thank you in advance.",Food
Redcross came to my house and gave my family food .... Guess were not getting power anytime soon. # sandy # RedCross,None
6 : 15. Still no power. It 's amazing 90mph winds and we have Internet through sandy. But 5 inches of snow and my neighborhood is out.,Energy
"Toilet paper , paper towels , tissues , bottled water",Water
"Hi hi - I can cook hot vegan/veg meals and deliver them on bike to LES. If folks can get to Bushwick , I have a spare bedroom w/ double bed , hot showers , wifi etc ( non-smoking/2 cats ) .",Food
This lady 's really cooking up mad food in case cause of this hurricane,None
"Food donation ; donation of blankets and clothing for adults and children. I can assist on weekends only and was hoping to volunteer on Saturday , November 10.",Food
"Matched with * * * * * * * * * * * * * * for hot meals and * * * * * * * * * * * * * * for non perishable food & water. NYU student cousin is * * * * * * * , mobile phone : tel : * * * * * * * * * * * * * .",Food
"My husbands doctors office has been closed since Sunday. We were told by his service that they would open at 8 : 00am this morning. He finished his meds yesterday and was to see the doctor. The office has no power and they are closed. He needs his meds , one of which if he does not take can cause seizures if he stops abruptly. We have called the service every 30 minutes , as his doctor is going away until the 19th of November. Today was to be his last day at the office. His service keeps telling us they will have him call us , but we have heard nothing. This and his other meds will not be prescribed by another doctor as he also needs a narcotic. We don 't know what to do. I am afraid he will become ill.",Energy
Despite the hurricane .... doodie calls. # Sandy # nyc # zoneb @ East Village http : //t.co/NMG6loM9,None
"Hi - I 'm not sure if my original question went through. I wanted to donate baby supplies - formula , diapers , wipes , baby food , toddler foods. Where is the biggest need for these ? Are there any specific formula types that are really needed ? Like soy or powdered or anything like that ? ? Any specific diaper sizes either ?",Food
Case of bottled water,Water
Gallon jugs of water,Water
My father just said he 's leaving me and my dog during the hurricane ... like what ...,None
"Waiting for the days assignment. Still without power at home , but so grateful all of our friends are safe. # SandyABC7",Energy
"ready for Sandy ! non perishable items , water , batteries for flash light candles etc ... now lets @ Down Neck http : //t.co/ibXaUvoR",None
I would just love to have power in my house and be able to watch tv or porn for that matter lol # sandyproblems,Energy
This # frankenstorm is not fitting my schedule - I already donated all the food in our pantry because we 're moving ! # cantbake # Sandy,None
Back to normal tomorrow .... Sandy is finally over ....,None
Water,Water
Big storm ... 2 days off ... still can 't sleep ... grr,None
"music , food service.",Food
"Clothing , non-perishables , pet food , hygiene products",Food
"One of the reasons why we havent had power for 3 days ... # hurricanesandy # aftermath # morrisco @ Whippany , NJ http : //t.co/TbdXuAk0",Energy
"I am in need of heat hot water , pet food , cleaning supplies , roof installation , non persiable food , information on other funding or grants to help recover from the storm.",Food
"passing out supplies ... water , food , ice , etc",Food
@ veronnzz @ billbrews .... this makes Dylan very sad. Sandy took this way too far ... not Holstens. No.,None
Happy to deliver food and help in other ways. Work as an administrative assistant at a non-profit and can help coordinate efforts as well.,Food
Drinking with a coworker ... screw you Sandy ... days off ... too many ... booze alot ... happy ... maybe ...,None
Batteries and other non perishable goods like food and water can be dropped to 23-74 38th street between 23rd ave and Astoria Blvd,Food
"I need of non perishable foods , water , financial assistance. We have no hot water or heat , currently using electric heaters. Any assistance or referal will be greatly appreciated",Food
"I have a coat , blanket , some other warm clothes. Candles. A few non perishables. Not sure where best to drop off. Thanks",Energy
"Clothing , boots and rain boots , winter jackets , gloves , scarves , children and adolescent attire ( winter ) , pet food , cat litter , hygiene products as in soap , shampoo , conditioner and the like.",Food
"I am a teacher at a school in Toronto and former New Yorker. Two weeks ago , my class came on a field trip to NYC and visited Added Value and had lunch at home/made ( * * * * * * * is a friend ) . We got out of the city just before the storm hit. The students have been collecting donations of the following items all week , and this weekend , I am coming back to NYC to volunteer and drop off donations. I have a huge box of following items : toothpaste/brushes deodorant baby products garbage bags soaps flashlights batteries candles work gloves dust masks Please let me know if you are in need of these items , or if you know of someone else that can use them. I can deliver them to Red Hook this Sunday. Thanks for your amazing work and organization. * * * * * * * * * * * * * *",Energy
has the hurricane started because I don 't see a storm outside ....,None
Just lost power on 1st/33rd in NYC. # sandy,Energy
"I can donate a blanket , canned food , batteries , coats. Looking for a place near 10022. Thanks !",Food
"Hot water ( for a shower/bath ) after two weeks , and heat.",Water
"Hairstylist by current trade , good at listening and being supportive , formerly stage production manager for festivals & other shows ( organized chaos 15 years ) , lots of catering exp , have worked in food lines , former manager & activities director in senior home ( can help elderly ) , can cook ( basic ) , clean , withstand stressful settings and organize plans & people in the midst of it. Husband & I are good at running errands and assisting leaders. We can find & bring stuff that is needed.",Food
I have several items I can donate including : - a bassinet stroller - half a packet of preemie diapers - candles - paper towels - 9volt batteries - size 14/16 maternity jeans - canned tuna and shrimp,Energy
"I have warm stuff -- coats , scarves , hats , gloves , to donate. Also candles and batteries.",Energy
"We can offer a furnished 2-bedroom apt in California for a family in need , including round-trip airfare , a car to use , food and clothes , as well as holiday celebration - Christmas or Hannukah decorations , food , gifts , etc. Temp shelter available starting Dec 1 for up to 3 months. * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *",Food
"I can an assortment of clothes , childrens clothing , diapers , batteries , toys ,",Energy
"- Other tools : saw , cordless drill , general hand tools - Translation : I speak Spanish",Medical
"Still needs Pet food , Roof supplies , Cleaning supplies. - * * * * *",Food
Still no power .... Heck this is the first time I had consistent cell phone service # sandy,None
Hoping to my neighbors while we wait for plumbing and water to come back !,Water
No power because of # sandy I actually played pictionary yesterday. This is a racoon a @ Holiday Inn Express http : //t.co/WzL1dndY,Energy
"I have non perishable food , baby supplies , hygiene products",Food
"I can help on Sunday Nov. 4. I can help serve , cook , or donate food. I can probably get bottled water from Carousel Beverages ( near my apartment ) and other drinks if necessary , and bring them into Red Hook. They sell large quantities for low prices. I can also pick up other food and other items -- flashlights , cleaning supplies , blankets , etc. -- at the grocery store near and CVS near me and bring them into Red Hook. * * * * * *",Food
"I would be happy to distribute water or food , and I am a certified teacher , so I would hope to be able to entertain some kids with reading or craft projects.",Water
Hopefully # hurricanesandy destroys Serc and arc on bush campus .... Perminantely .,None
"I am an accountant , so I could help with financial services of some type , but I would simply like to lend a strong back and/or general handyman skills. I have basic tools - but would be happy to purchase specific tools that are needed , assuming that the local hardware store or Home Depot has them.",Medical
"Happy to deliver supplies , clean debris , etc.",Medical
childrens clothing canned food toys,Food
"One flat plus two gallons of bottle water , most of a box of candles , and several sizes of batteries.",Water
# HoesBeTwerkin to Twerk up the east coast. Ohhhh wait ..... # HurricaneSandy,None
I want to donate a bunch of non-perishable foods.,Food
Can anyone recommend gas stations that have gas in NYC or Westchester .. Time go 70 's Jimmy Carter OPEC shopping ... Gadzooks ... # Sandy,Energy
"Hello. I am a teacher at a Montessori middle school in Norwalk , Connecticut. Our students are carrying out a few storm relief initiatives at school , including one that is rather impractical , but hopefully , spiritually uplifting ! Our students are making their own cheery , encouraging labels for something like 1,500 chocolate bars , which they would like to deliver personally to the storm victims of Staten Island. We have not yet figured out the logistics of this and I wonder if you could give us some direction. We are hoping to come as a small group on Sunday for a few hours to try to spread some "" sweetness "" and to let Staten Islanders know that they may feel alone , but they are not ! Is there a place that you could direct us to in order to fulfill our mission ? Thank you for advising .... * * * * * * * * * * * * * * * * * *",Food
"I can help cook , prepare food , pack and organize things.",Food
Sandy has changed me .... i will never feel the same way about a dyin phone ... smh : /,None
Food water batteries procured. Outdoor furniture secured. # Sandy can do her worst.,Energy
I can cook in large quantities to help those that need food cooked and dont have power.Be a cousler to help them file paper work for things that are lost link with churches and orginazations,Food
"I wouldn 't say I 'm an expert in any area above but I would be willing to help man food/water/supplies distribution , to organize supplies for distribution , and I would be willing to help clear debris and clean.",Water
Distribution of food and other material,Food
Sandy is coming ..... Ouch and it 's stronger than Irene ! http : //t.co/4xA928nI,None
want to donate men and women 's clothing and non-perishable food- please let me know how I can get them to you,Food
content,resource_type
one branch fell down on my street the entire * * * * * hurricane and we have no power for a week ? such bullshit,Energy
Cupcakes !,Food
"Warm kids clothing , non-perishable food , cleaning supplies , small amount of clean - very portable kids toys , hygiene products. I can bring all of these to * * * * * * * * * * * * * *",Food
Something something something big storm ... Something something something panic ... # Sandy # Hurricane,None
"We are not currently accepting clothing or furniture donations at this time because we are unable to process them. There are very limited resources and facilities to sort , store , and distribute clothing in the disaster area -- there are literally piles of clothing going to waste as many people have severe damage to their homes and no dry place to keep them and they are getting moldy & dirty. Donations of gently used clothes should go to the Salvation Army or Goodwill accordingly. Donations of non perishable items such as ready to eat items ( tuna , soups , pasta , cereal ) , water , batteries , flashlights , and cleaning supplies are always welcome at one of several drop locations where supplies can be brought directly. Here is a list of those locations : https : //astoria.recovers.org/news/50aa96704eae35688600003f",Food
Just saw some pictures from LBI lots of flooding .... I hope our house is still there after the storm ...,None
"I can donate diapers , wipes , bottles , spoons and non-perishable food but live out of state ( I was a Red Hook resident for 6 yrs ) . Is there a mailing address to send items ?",Food
distribute food and clothing ....,Food
"My church has collected a large number of items to be donated to those in need in Staten Island. Please contact me asap , as we are trying to organize a drop off at an aid site or community center -- where ever we are most needed ! - non perishable food - water bottles - blankets - baby items - coats - gloves - hats - toiletries - pet food - Advil , Tylenol - matches - batteries - flashlights",Food
"slacks , sweaters , tops , jacket , shoes , sheets , towels , dry and canned food",Food
"Post # Sandy once in a lifetime shot. On the left , all of Lower Manhattan left in pitch b @ North 5th St Pier http : //t.co/1eauZ0c3",Energy
I have a box of 204 diapers. 900 wipes some canned foods. Body wash shampoo rinse,Food
"Help towards Christmas food towards meals , some gifts",Food
NEVER MISS OUT ON A CHANCE TO DO A GOOD DEED ..... # HurricanSandyRelief,None
"General volunteering. Nothing skilled. Painting , building , food relief , etc",Food
Pls I have so much ready to be donated some pants shirts baby clothes little boys and girls clothes sneakers jackets toys baby bottles and unopened formula,Food
I would like to bring hot trays of Baked Ziti tomorrow Sunday 11/4. Let me know where to bring them.,Food
Nothing makes the idea of a boyfriend more appealing than moving .... In a hurricane. # rockmelikeahurricane2012,None
"Food , dog supplies , dog crate , hygiene products",Food
I 'ma just # oceanlab my night away ... Reminisce on # sensationwhite & amp ; all the beautiful memories from this weekend ... # HurricaneSandy you blow,None
"My experience volunteering for Sandy church with food and supplies , if you have time take time @ Kaiser Park http : //t.co/gOyTj0oJ",Food
Distribute food and supplies.,Food
"Tropical storm # Sandy ... "" My God ... over 82 AUs in diameter ! "" # LameGeekJim",None
My updated wish list ... a generator ! ! ! # HurricaneSandy,Energy
I can help with distribution of food and water and also with debris cleanup.,Water
"I have assorted baby clothes , batteries and water - I 'd like to bring whatever can be most helpful.",Water
A # NewYork splende il sole .... in barba a # Sandy ..... e ora junkie food mode-on,None
Fox news says Romney lost because he wasn 't in the news at all during the week of the hurricane .... ? Yeah. Ok .....,None
Food,Food
"I can donate clothing , food , cleaning supplies etc. I would like to create a clothing and food drive on the UWS and then bring it to you. May of us uptown don 't know how to effectively donate goods.",Food
Can help collect and distribute food/supplies.,Food
Wonder if I could still get food delivered in # nyc during # sandy,None
Come donate food to Thompson park in lincroft for sandy victims # restoretheshore,None
Can hand out food. Am tall and fit.,Food
"Canned fruits , vegetables , and tuna fish/salmon Peanut butter/jelly Pasta Maple and Brown Sugar Oatmeal Non-sugary cereals like Cheerios",Food
3 trays of hot food.,Food
"The only skills I have is I am a hairstylist ! However , I can help with cleaning up damage,rebuilding,handing out food,water,warm clothing,blankets , I can also cook or help prepare food ! Thanks. Let me know",Food
Very spooky to drive into work and see Main Street completely dark - still no power. # Ridgefield # CTSandy http : //t.co/ugHdclnJ,Energy
"Oh Sandy the aurora is rising behind us ... the pier lights , our carnival life forever ... love me tonight for I may never see you again : (",None
Meal delivery in Red Hook,Food
"I have blankets , socks , non perishables , baby wipes , diapers",Food
"i have some canned foods , cereals and s bit of childrens clothing. Friends also have some food to give as well",Food
"willing to help in any way I can ; I don 't own a car but can drive and pack and unload and carry items. Can help with info , preparing food , etc.",Food
Cat Food & Dog Food,Food
"20 boxes ( large ) of baby supplies , toiletries and canned food",Food
# Hurricane # Sandy # tree that tore down my power lines and fell across the road bei @ Alexander Higgins House http : //t.co/SF3qonHk,Energy
We can bring prepared food and kid snacks.,Food
food and water,Food
I can cook and bake like your grandma !,Food
Wat ... another snow storm hitting us again ... I need my generators .... ( @ anGEl home in middle village ) http : //t.co/PM3yAmta,None
This hurricane was just an awful excuse for me to eat all the junk food in sight.,None
happy halloween ........ # HurricaneSandy http : //t.co/6iGfAJLQ,None
Our church has collected some non-perishable food and gently used clothing and we are looking for a donation site. Please let me know if any of this can be used. Thank you.,Food
"Here at the Reece School we have collected a variety of heavy duty cleaning supplies , warm clothes , nonperishable food items , blankets , personal care items , and pet food over the course of two weeks. We are in search of a location to drop off these donations during the week of November 26 , 2012. Please contact me directly to arrange a date and time. Thank you so much in advance !",Food
Supposed to buy storm necessities but I 'm here on the Christmas decorations sections. Batteries & amp ; candles can wait.,None
"delivering supplies , help serving food",Food
3 gallons of un-used drinking water,Water
"The JCC of Stamford CT has been collecting cleaning supplies to donate to communities in need- we have been to SI twice to bring these donations to neighborhoods in the Great Kills area. We currently have the following supplies to donate- Industrial hard bristle brooms Shovels Rakes Contractor Garbage Bags Work Gloves Work Boots Masks Latex gloves Bleach Cleaning supplies Sponges Paper Towels Clorox Wipes Baby Wipes Hand Sanitizer Flashlights Lanterns Batteries ( all sizes ) We also have cash and gift cards as well. Please let us know if you have specific places in your community that could use these supplies. We are looking to deliver them tomorrow , Friday 11/9. Thank you !",Food
What we thought could never happen : Dark # Streets of # Manhattan due to power outage. # sandy # d @ 34th Street http : //t.co/081fmHg8,Energy
.... It only the weather ... CTfU ... A little bit ... @ J_thorow Hurricane survival kit part 2 Tuesday through ... http : //t.co/IvFK1CPI,None
Food delivery,Food
"* * NEED MET * * * * * * * * * * * * , 82 , has limited walking ability , needs to charge her cellphone and needs meals on wheels or other food source. Spanish speaking , some but limited English. Daughter is * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * Please notify ( text , call or email ) daughter * * * * * * * * * * , when contact is made with her mom.",Food
This is actually not for me but I 'm reporting that seniors are living in the Seward Park Co-Op top floors with no power or water. They desperately need help. Please get the word out to send help. 413 Grand Street. http : //www.boweryboogie.com/2012/10/report-seward-park-seniors-stranded-terrified/ ?utm_campaign=socialflow&utm_source=socialflow&utm_medium=twitter#comment-697403469,Energy
"We need help ith clean up , sanitaizing , rebuilding , furniture , generator , electric heaters , batteries , flashlights , hot meals , home goods : towels , linens,etc. hygiene products , toliet paper , paper towels , soaps for hands , dishes , etc. Thank you so much.",Food
"I would like to donate food , hygiene , and other supplies. Where is a place I can drop off in Astoria ? My number is * * * * * * * * * * * * *",Food
"I will donate band-aids , advil , and wipes.",Medical
Chasing Jagger with Guinness ..... hurricane party @ James_Mahon @ Joseph_Ruggiero @ crebaudo .... @ amanda__ryan and @ ErinDiver were u at ?,None
hi my name is * * * * * * * * * * 3 sets of twins in brooklyn ny and in desperate need of diapers wipes and so on we had a flood of 5 feet of water and cant seem to get any help in my area please help me and my family,Water
@ laurenkoslow I 'm going through withdrawals .... haven 't had power since monday in NJ due to Sandy .. missing DOOL !,None
"i have some food clothing cleaning supplies and hygiene donations. Ill be in Staten Island today , Sat Nov 10th",Food
"This upcoming Sunday - November 11 - a group of us of about 5-10 will leave from our church to come help in anyway through tuesday morning. We will be bringing supplies of water , food , falshlights , batteries , baby needs , blankets etc ... Please contact me and let me know where we can bring the supplies as well as work for 48 hours doing anything to help cleanup !",Food
"Young , fit , and willing to help ! Can also provide hot food if necessary. Have a car , but low on gas , hopefully can get some soon to offer rides/transport of supplies ! Speak Italian also.",Food
Please let me know what is especially needed as far as clothing and food are concerned and I will do my best to collect ! Thanks !,Food
"Hi ! CAAAV Organizing Asian Communities will be operating a relief center out of our office at * * * * * * * * * * * * * * * * * in Chinatown tomorrow ( Wednesday ) and likely continuing for the week. Needs are : people to help pass out fliers , access to a generator , and supplies in general ( food , water , batteries , flashlights ) . Please see below for more info ! And if you can come to our office tomorrow beginning at 10 am , that would be great. : ) from * * * * * * * * * * * , CAAAV ED : Two things of most importance : 1 ) There is no information getting into Chinatown. While the tenants were able to get newspapers mid-day , the news was obviously not up to date. No one is able to make cell phone calls , there is no internet. Some people who can , are able to send texts , but almost everyone I talked to had used up the battery on their phones. They have no idea how long the electricity will be gone for. They have no idea when the trains will work again. There was no one giving out information , and it was clear there was no place to get information. 2 ) There are no services. No one has generators running so there is no backup of anything. There are buildings where there are tenants with no water at all. In the public housing , water was shut off , and there are still a significant number of residents still inside. They 're fine otherwise , but could use some water. This is what we can do : Thanks * * * * * * * and * * * * * * * * * * for letting me know that folks are ready to help out tomorrow. We will need all the help we can get. The most important thing is that we get information out to people. And then we also gather stuff that they may need for the next three-four days. I 've already spoken to the tenants and told them that our office will be open tomorrow for whatever information they can get , and we 'll try to have some things that they would need. CAAAV has a couple hundred bottles of water from the walk-a-thon. We 'll give those out. That 's pretty much all we have. So if you have extra flashlights , batteries , and food , we 'll take it. What we really need is a generator. People want to be able to plug their phones in and the office would be helpful to others if we were connected. Right now we need to make fliers with information to pass out to people , but we wouldn 't be able to make the copies at the office. People will also want to make phone calls and we can open our phone lines if we have electricity. If you have access to an office space where we can print out and make copies of information for folks , please point me in the right direction. I 'll be working on a flyer tonight and will get it translated. Otherwise we 'll go to whatever copy places are open and just suck it up. OR if you can also help make copies and bring them to the office , that would be helpful. I think we can also use people tomorrow to go out and give out the flyers , check in on people in the buildings , and bring water to them if they need it. And people to be cheerleaders and listen to folks. Doesn 't matter the language , bodies are important at this point. Today , they all wanted to talk to me because I represented world outside of Chinatown , so please consider spending some time. ( Note : if you do come downtown , know that you will likely not be able to make any phone calls on your cellphone. You should be able to send texts in most areas. )",Food
"Warm clothes , scarves and mittens , some non-perishable food. Only a relatively small quantity -- one garbage bag 's worth -- but I would like to do something to help ! Is there somewhere I can drop off these items ?",Food
First a hurricane now a snowstorm .... pittsburgh doesn 't seem so bad now,None
"Women 's clothing , children 's clothing , shoes , coats and non-perishable food",Food
"I have canned goods , crackers , gallons of bottles water , candles- and cat food.",Food
"clothing , hot meal , non-perishable , toys , hygiene products",Food
"I have an SUV , I can donate hot and food food or water , and I am a candlemaker so I can donate and make candles if anyone needs them.",Food
So being stuck at home all day = A lot of time to kill and eat most of the food supply yay # Sandy,None
"Items such as plastic utensils , baby items , non perishable foods , and water should be brought locally to * * * * * * * * * * st btwn 23rd ave and Astoria Blvd. Thanks !",Food
"I am happy to help with food distribution ( at a food kitchen , for example ) .",Food
Rt : “ @ BronxZoosCobra : All stocked up on canned mice and batteries for my heated rock. # sandy”,None
"I can make sandwiches , distribute food to people , play with kids .... Oh , also , I live in Alphabet City ( E 7th & Ave C ) –I know help is needed in that area.",Food
food service help,Food
"I have many towels ( large , as well as hand towels and wash cloths , ) small men 's hygiene products ( travel size ) , and canned foods I 'd like to donate. I also have some batteries to donate. If there is a need for these items , please let me know. Thank you.",Food
"Have a bicycle -- can deliver smaller supplies , medicine , etc.",Medical
water,Water
"I can hand out water or food , I can help clean up in general. I am available to come for weekend help.",Food
"hand sanitizer , plastic utensils and cups , shampoo , soap , canned goods , cleaning supplies",Food
"If Astoria 's box was overwhelmed , would you guys be interested in connecting with Brooklyn folks to send food over to the LES area ?",Food
"Hide your kids , hide your wife ...... And hide your husband cuz , # HurricaneSandy is coming fo @ 10th Ave Beach http : //t.co/Jw2aoKts",None
* * * * * * * * * just called to say she met them -- they were taking up water themselves ! Do not underestimate the resilience of New Yorkers. They 're fine.,Water
"* * * * * * * * * did not meet up with the Heddermans , but left bottled water for them.",Water
@ ChaChaSlide_23 .... Are you serious ..... ? ? ? I thought that was a joke ... ? ? ? # problems # HurricaneSandy,None
"Bring food , drinks to victims --",Food
Rice and Miso Soup,Food
"This is only for cancer patients undergoing chemotherapy who have been displaced by the storm. We provide cancer patients undergoing chemo with kits of products to help manage side effects such as nausea , hair loss and oral care issues. We would love to get kits to people who have lost so much during an already difficult time.",Medical
"Our family speaks russian and hebrew as well as english , and we have a car to deliver food or supplies and we have two kids who would be very handy in a soup kitchen",Food
Extensive first aid supplies,Medical
21 without power in # queens # HurricaneSandy # NorEaster2012 .... death toll 41 persons ... that 's in tristate area ... # RiP # staystrong,None
"We are not currently accepting clothing donations at this time because we are unable to process them. There are very limited resources and facilities to sort , store , and distribute clothing in the disaster area -- there are literally piles of clothing going to waste as many people have severe damage to their homes and no dry place to keep them and they are getting moldy & dirty. Donations of gently used clothes should go to the Salvation Army or Goodwill accordingly. Donations of non perishable items such as ready to eat items ( tuna , soups , pasta , cereal ) , water , batteries , flashlights , and cleaning supplies are always welcome at our donation drop off at 23-74 38th st btwn 23rd ave & Astoria Blvd. Thanks !",Food
I can help with making and packing food.,Food
"Soap , antibacterial handwipes , baby wipes , hand sanitizer",Medical
So today : war horse and wicked ... how amazing is that = ) ...... oh and around 160 blocks - _- ( thank you Sandy ),None
"I have some clothes and non-perishable food , batteries , candles , also toilet paper",Food
Toilet paper and paper towels. Dish soap.,Food
"I 'm a healthy senior , formerly self employed bookkeeper. Can do clean up,food water distribution , very organized.",Water
To worry about Sandy or not to worry about Sandy ... That is the question ... Not liking the idea of a blizzard and hurricane mixing.,None
Oh waw ........ snow storm ? Plzz tell me we not gonna do this all over again ...,None
I work at an after school program and we are wanting to possibly do a food drive and donate to the relief efforts of Sandy. Let me know if there is a way we can help and what are your highest needs.,Food
I can donate clothing and food.,Food
"Have been emailing with * * * * * . This is actually miscategorized , It should be listed as a volunteer donation. C * * * * has been matched to a few people above for clean up. He is asking for tools and I 'm waiting to hear back from him on specific tools while I search for tools.",Medical
Any restaurants willing to donate containers for prepared foods and soups ? # sirecovers # sihelp # helpsi # sandyvolunteer,Food
@ RachelAnnR also ... this is what sandy left behind in her wake ... so I think she 's ready too ... http : //t.co/FQeG1vT5,None
Deodorant Toothpaste Shampoo/Conditioner Baby Shampoo Kids Toothbrush Bar Soap Mouth Wash Q-tips,Medical
"The storm is gone , turn on my lights foo !",Energy
I have bottled water and canned food I would like to donate.,Food
Peanut butter jelly sandwiches,Food
I can bring clothes and food. I can help serve in a shelter.,Food
Hey-o ! RT @ RomneyStormTips : Everyone chill out ... Sandy will end earlier then expected ... she has dinner to get on the table # Sandy,None
i would like to help in bringing food/water/supplies to staten island,Food
"We are not currently accepting clothing donations at this time because we are unable to process them. There are very limited resources and facilities to sort , store , and distribute clothing in the disaster area -- there are literally piles of clothing going to waste as many people have severe damage to their homes and no dry place to keep them and they are getting moldy & dirty. Donations of gently used clothes should go to the Salvation Army or Goodwill accordingly. Donations of non perishable items such as ready to eat items ( tuna , soups , pasta , cereal ) , water , batteries , flashlights , and cleaning supplies are always welcome at our donation drop off at 23-74 38th st btwn 23rd ave & Astoria Blvd. Thanks !",Food
Soo it 's almost 2 am and people are still waiting on that line to get gas .. It 's the shortest line I 've seen though - __- # gas # sandy # NYC,Energy
"My daughter ( 15 ) and I ( 50-ish ) wish to volunteer with food service , over the thanksgiving holiday and beyond are there food pantries set up in Red Hook where we could serve or organize food donations. Let me know. thanks , * * * * * * * * *",Food
Frankenstorm won 't stop the bean ! Thx for staying open for the neighbors who need coffee and treat ! ( @ The Bean ) http : //t.co/Zw7oA0Tq,Food
